Precio (€),Marca,Modelo,Motor,Potencia (cv),Km,Ciudad,Año,Image
195.000,Aston Martin,4.0 510,Gasolina,510,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/c/medium/0312239406Aston-Martin-DB11-0879520282029.jpg
365.000,Aston Martin,Superleggera,Gasolina,725,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/d/medium/0312239426Aston-Martin-DBS-Superleggera-14692028929.jpg
271.000,Aston Martin,4.0 AWD Aut.,Gasolina,550,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/b/medium/0312239618Your-DBX.jpeg
266.000,Aston Martin,4.0 AWD Aut.,Gasolina,550,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/8/medium/0312239572Your-DBX11.jpeg
249.000,Aston Martin,4.0 AWD Aut.,Gasolina,550,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/c/medium/0312239542Your-DBX.jpeg
246.000,Aston Martin,4.0 AWD Aut.,Gasolina,550,0,Barcelona,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/26/1/medium/0312239476Aston-Martin-DBX-033493.jpg
179.000,Aston Martin,Volante 4.0 510,Gasolina,510,7.500,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/26/9/medium/03122394243-Aston-Mart.jpg
31.800,Audi,A3 Sportback 30TDI,Diesel,116,5.000,Badajoz,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/20/b/medium/031138662514032363_01.jpg
36.700,Audi,A4 Avant 35 TFSI,Gasolina,150,112,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2021/09/23/8/medium/029233306110098538_01.jpg
22.500,Audi,A1 Sportback 25 TFSI S,Gasolina,95,6.709,Sevilla,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/25/3/medium/be0f5ac464b954a1e0cacf5eb966a991.jpg
76.615,Audi,A6 Avant 45 TDI Sport,Diesel,231,1.230,Illes Balears,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/28/5/medium/030289363215407938_01.jpg
144.900,Audi,A6 RS6 Avant TFSI,Gasolina,600,660,Tarragona,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/09/2/medium/3ccb86a6b1af8c2bf9e4db84e029ad77.jpg
41.890,Audi,A5 Sportback 40 TDI S,Diesel,190,335,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/10/22/6/medium/34fce6fa12bd8aa673262a1741b15e61.JPG
41.890,Audi,A5 Sportback 40 TDI,Diesel,190,9.103,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/10/22/d/medium/164662743d387885c4755ab3fc41e985.JPG
33.900,Audi,A3 Sportback 40 TFSIe,Híbrido,204,2.000,"Palmas, Las",2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/3/medium/1e472bd04b470dc473f329aa789ddabf.jpg
24.990,Audi,A3 Sportback 40 e-tron S,Híbrido,204,750,Navarra,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/3/medium/0311561207449832-9.jpg
31.500,Audi,A4 35 TDI S line S tronic,Diesel,163,6.053,Murcia,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/c/medium/0311558873582029-IMG_1689.jpg
47.900,Audi,Q3 Sportback 45 TFSIe,Híbrido,245,1.000,"Palmas, Las",2021,https://imgs.coches.com/coches/fotos/usados/2021/12/30/a/medium/1b9727ebb31d3b12849a31a3b4da3011.jpg
31.500,Audi,A4 35 TDI S line S tronic,Diesel,163,1.905,Murcia,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/f/medium/0311558871581494-IMG_1689.jpg
25.990,Audi,A3 Sportback 35 TFSI,Gasolina,150,9.000,Malaga,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/13/4/medium/796f43f37b9b58b01d35c587bc76ecf6.jpg
37.500,Audi,A5 Sportback 40 TDI,Diesel,204,8.000,Girona,2020,https://imgs.coches.com/coches/fotos/usados/2021/06/06/4/medium/a66c6491652e1a70154f742bc8f10832.jpg
33.480,Audi,A4 Avant 35 TDI Black,Diesel,163,9.452,Navarra,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/7/medium/0311561183461755-1.jpg
36.760,Audi,A5 Sportback 35 TDI S,Diesel,163,9.694,Navarra,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/8/medium/0311561275465322-1.jpg
35.790,Audi,A4 35 TDI Advanced S,Diesel,163,22,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/1/medium/031231881293e2b82867e2820a92d6de2039ed8ce6-6067202-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
44.890,Audi,A5 Sportback 35 TDI,Diesel,163,8.350,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/24/f/medium/7e88ddf7d9e129963f0762b09cb5ff5e.jpg
46.800,Audi,Q3 45 TFSI Advanced,Gasolina,245,0,Castellon,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/27/7/medium/0302825342DSC_0071.JPG
46.800,Audi,Q3 45 TFSI Advanced,Gasolina,245,0,Castellon,2022,https://imgs.coches.com/coches/fotos/usados/2021/11/27/c/medium/0302701884DSC_0071.JPG
28.950,BMW,Bmw Serie 1 116d,Diesel,116,7.000,"Palmas, Las",2020,https://imgs.coches.com/coches/fotos/usados/2021/12/24/0/medium/4cd66502857855a89dccc505f862d36f.jpeg
29.900,BMW,Bmw i3 120Ah,Eléctrico,170,6.734,Tenerife,2020,https://imgs.coches.com/coches/fotos/usados/2021/09/07/9/medium/02899989812afa85c8b564f29d876b87f7f6fdb4d5_original.jpg
29.500,BMW,Bmw Serie 1 116d,Diesel,116,5.800,Cantabria,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/17/7/medium/0296337949m_img_157_2731_01_1634360593.jpg
84.907,BMW,Bmw X4 M40i xDrive,Gasolina,360,0,Sevilla,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/20/5/medium/7b621a0599c3a0609d6b2ba5098d12f4.JPG
81.041,BMW,Bmw X3 M40d,Diesel,340,0,Sevilla,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/20/2/medium/f86af20fb587f99a8684a1ee1ee77fcb.JPG
54.900,BMW,Bmw X3 xDrive 20dA,Diesel,190,8.070,Illes Balears,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/6/medium/0311553629246870-0628lmp_photo_07.jpg
54.683,BMW,Bmw X3 xDrive 20dA,Diesel,190,0,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/13/e/medium/7aca9bd1bc01a46d6c14219e4a3c291a.JPG
56.276,BMW,Bmw i4 eDrive40,Eléctrico,340,0,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/20/b/medium/b81f4544edf9c1b825ca1e577f2ec8b1.JPG
78.146,BMW,Bmw i4 M50,Eléctrico,544,0,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/20/0/medium/190a5be585275221a5e1271d2993809b.JPG
39.999,BMW,Bmw Serie 1 128tiA,Gasolina,265,2.100,Alicante,2021,https://imgs.coches.com/coches/fotos/usados/2021/06/03/a/medium/027484331101b50307173c22927db8d8919cd5baf6_original.jpg
33.490,BMW,Bmw Serie 1 118iA,Gasolina,136,9.900,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/22/3/medium/26e3cea03a459c97c9ae9f0b0a25d3f2.JPG
91.794,BMW,Bmw iX xDrive 40,Eléctrico,326,0,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/20/7/medium/597a42d78ae7234a9eefe5773db91fa0.JPG
31.900,BMW,Bmw Serie 1 118dA,Diesel,150,149,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/20/1/medium/890de094becde242a5c6196117d59030.jpg
99.990,BMW,Bmw Serie 4 M4 Coupé,Gasolina,510,20,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/14/e/medium/27903e5e34ddc20fba036821a5f2d940.jpg
39.990,BMW,Bmw Serie 2 225xe iPerformance,Híbrido,224,1.308,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/7/medium/031232421228b003d01e7db43cb0463b72d85e7f71-6638524-a8f598e875d5749e3dde1b634992b7fc34ec90d6-vehicle-gallery-big.jpg
99.990,BMW,Bmw Serie 4 M4 Coupé,Gasolina,510,20,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/14/2/medium/4d3cc90fb54404ad4b1ec3316deccfe0.jpg
61.500,BMW,Bmw X3 xDrive 30dA,Diesel,286,9.500,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/08/d/medium/0309297007m_img_157_4061_135827_1641549812.jpg
36.190,BMW,Bmw Serie 2 218dA Gran Coupé,Diesel,150,12,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/3/medium/0312319828d1bbdad2c08253f768736e37f7d0fdd9-6343593-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
40.900,BMW,Bmw Serie 1 120dA xDrive,Diesel,190,1.765,Illes Balears,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/e/medium/0311553577246179-6810ldz_photo_01.jpg
27.691,BMW,Bmw i3 120Ah,Eléctrico,170,0,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/20/b/medium/da14848e28c89e981ccd135d9c63c3ce.JPG
21.900,Citroen,C4 1.2 PureTech Shine,Gasolina,130,5.675,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/6/medium/0311559429109430-1-7180-LNM_wm1.jpg
14.490,Citroen,C3 1.2 PureTech S&S,Gasolina,83,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/c/medium/0311559375115137-1-6455-LML_wm1.jpg
9.999,Citroen,C1 1.0 VTi Airscape,Gasolina,72,10,Alava,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/17/a/medium/0305752871017db11a-b3f4-6c27-8c3b-1edd61e9462a.jpg
24.999,Citroen,Jumpy DCb. Abatible,Diesel,121,2,Alava,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/19/9/medium/0301471603017d32bc-a130-6841-84fc-edda34e2363c.jpg
22.500,Citroen,C4 ë - Feel Pack 100kW,Eléctrico,136,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/f/medium/0311559559113922-1-0764-LTC_wm.jpg
15.500,Citroen,C3 1.6BlueHDi S&S,Diesel,99,8.570,Valencia,2020,https://imgs.coches.com/coches/fotos/usados/2021/12/02/1/medium/0303475691017d76d6-9542-cc2d-8011-889dd71af6e5.jpg
21.500,Citroen,C3 Puretech S&S Shine,Gasolina,110,69,Badajoz,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/13/6/medium/03101792713eee42b8dc4cc346b0669d9afe304776_original.jpg
22.700,Citroen,Berlingo BlueHDi S&S Talla M,Diesel,100,3.000,Granada,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/d/medium/2d1d429d8d2b0daebdf73befe70b9f11.jpg
22.770,Citroen,Berlingo BlueHDi S&S Talla M,Diesel,100,3.000,Granada,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/29/e/medium/19b94d189010df1d4134cec65f6ae025.jpg
16.799,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,110,1,Alava,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/30/e/medium/0307809099017db13e-7d3d-04c0-e9b7-3490ea8afa5f.jpg
19.490,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,7.013,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/4/medium/0312317594c86a6eba29e09c4ca6c847f972da5d4d-6546246-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
19.990,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,6.839,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/8/medium/0312318692c582de59820b3158f54110c91494767a-6028122-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
19.790,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,7.646,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/9/medium/03123183546117b3f6f745af0994de33bbd01316cb-6310037-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
19.700,Citroen,C3 Puretech S&S Shine,Gasolina,130,12,Toledo,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/03/7/medium/26612d889cb6c3864ea915035ba35555.jpg
19.990,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,6.684,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/d/medium/03123186944e3e1638dbbe4cda2f376ffbe81964c5-5921056-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
19.990,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,4.014,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/3/medium/03123186905b8b97c009cc4f55ed9ec4f8c2bfbe6a-6182694-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
19.090,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,7.966,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/5/medium/0312318698b859dd296271d1fa5eb4e83cc4c353b9-6137476-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
19.790,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,9.270,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/a/medium/0312318350ae409db4d47c5cc0ba4e97dc46db4792-6092151-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
19.990,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,6.129,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/6/medium/0312317592bfad6a0d2550fe667110245fcb70b31c-5542218-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
19.790,Citroen,C4 1.5 BlueHDI S&S Feel,Diesel,130,9.003,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/26/b/medium/0312317596ba32620e0c468a40d254fb34ee4d49ce-6541624-2aa5a356158c44156ad0ff86776ac2082352b14c-wc-265.jpg
16.500,Dacia,Sandero Stepway ECO-G,Gasolina,100,660,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/b/medium/41fa180f94ccddb85291c2f93375fed6.jpeg
17.500,Dacia,Sandero Stepway TCe,Gasolina,91,1.100,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/639713a2336dc05804a5bf991a8ddf38.jpeg
16.900,Dacia,Sandero Stepway TCe,Gasolina,91,468,Valencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/aa53334988b08789618446b51348c9d2.jpeg
15.900,Dacia,Sandero Stepway TCe,Gasolina,91,5.500,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/5292e9ec6a02d697f3dca615865ed6ca.jpeg
16.700,Dacia,Sandero Stepway ECO-G,Gasolina,100,460,Valencia,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/18/5/medium/5f861ae6cc5f2cc466287f6fbf64455c.jpeg
19.800,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,8,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/12/9/medium/03050626811629904622414.jpg
19.500,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,7.000,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/24/a/medium/03022844471637682448873.jpg
19.300,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,0,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2021/09/17/9/medium/02912709631629992149919.jpg
19.300,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,8,Asturias,2021,https://imgs.coches.com/coches/fotos/usados/2021/09/17/c/medium/02912709211629789753077.jpg
14.500,Dacia,Sandero Stepway TCe,Gasolina,91,4.000,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/19/b/medium/b641c4e75f375d97c584dc3345a5ff10.jpg
9.900,Dacia,Sandero 1.0 Essential 55kW,Gasolina,75,6.800,Valencia,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/18/0/medium/7e8dbdbb4acefbf5acd819de076aa762.jpeg
16.500,Dacia,Sandero Stepway TCe,Gasolina,91,3.380,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/18/2/medium/0fce539a432fd4c28f1a9f2fcf5ef425.jpeg
15.500,Dacia,Sandero ECO-G Comfort,Gasolina,100,9.058,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/20/6/medium/8eec7876ddcf56d83b1e1b94bf3694fa.jpeg
18.190,Dacia,Duster 1.5 Blue dCi Comfort,Diesel,115,8.900,Pontevedra,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/10/7/medium/0300071967m_img_58_48241_849284_1636450518.jpg
16.736,Dacia,Spring Electric Comfort Plus,Eléctrico,45,1,"Palmas, Las",2022,https://imgs.coches.com/coches/fotos/usados/2022/01/25/2/medium/07c68cedd046340bf45b1cb3671276cb.jpg
21.100,Dacia,Duster 1.5Blue dCi Prestige,Diesel,115,25,Huelva,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/10/b/medium/41990d63c8f7061a57681719bbc2a28d.jpg
18.900,Dacia,Duster TCE GPF Serie,Gasolina,150,7.834,Pontevedra,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/30/3/medium/03032302871638204099775.jpeg
18.200,Dacia,Duster 1.5Blue dCi Comfort,Diesel,115,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/06/b/medium/03090933452dc36637a4d2c96fb615df988740e0ea_original.jpg
18.200,Dacia,Duster 1.5Blue dCi Comfort,Diesel,115,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/06/5/medium/03090925732dc36637a4d2c96fb615df988740e0ea_original.jpg
18.200,Dacia,Duster 1.5Blue dCi Comfort,Diesel,115,10,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/06/c/medium/03090868032dc36637a4d2c96fb615df988740e0ea_original.jpg
699.900,Ferrari,488 Pista,Gasolina,720,50,Barcelona,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/26/1/medium/03123010980d24c313-5228-4308-93ea-24d5d66685f7_01.jpg
14.990,Fiat,Tipo 1.6 Multijet II,Diesel,120,858,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/11/6/medium/066ed484ac9ca8816d38b664cedea994.jpg
16.990,Fiat,500X 1.6 E-Torq S&S Urban,Gasolina,110,9.027,Madrid,2020,https://imgs.coches.com/coches/fotos/usados/2021/11/12/a/medium/0300498585imagen.jpg
13.390,Fiat,500 1.0 Hybrid Connect,Gasolina,70,1.200,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/17/8/medium/03058258397d27ab65-0976-44d4-bd49-4559097eda80_original.jpg
17.690,Fiat,Tipo SW 1.0 City Life,Gasolina,100,8,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/24/9/medium/031206067830bb5dc3-a09a-49c7-8405-9fbd71f7960b_original.jpg
10.290,Fiat,Panda 1.0 Gse Hybrid,Gasolina,70,0,Sevilla,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/17/1/medium/030582533143ca6113d316279cb0903ddeb199d16a_original.jpg
21.990,Fiat,500 e 87Kw Icon,Eléctrico,118,5,Avila,2022,https://imgs.coches.com/coches/fotos/usados/2022/01/11/a/medium/671827ecbb69fdeadd6c8fbedf099ab9.jpg
25.400,Fiat,500 e 87Kw La Prima,Eléctrico,118,595,Malaga,2020,https://imgs.coches.com/coches/fotos/usados/2022/01/21/c/medium/0311564277464000-1.png
15.300,Fiat,Tipo 1.0 Live,Gasolina,100,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/30/d/medium/1f2990559451a62a8b19c13fba1a8911.JPG
15.800,Fiat,500 e 70Kw Action,Eléctrico,95,15,Jaen,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/26/c/medium/0302490221imagen.jpg
13.300,Fiat,Tipo 1.0 City Live,Gasolina,100,1,Pontevedra,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/03/6/medium/79cb777c7d282a67232a6330d3626248.jpeg
16.500,Fiat,500 e 70Kw Action,Eléctrico,95,5,Avila,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/25/8/medium/083a197377d4f110d0ce5776fabae0b4.jpg
15.390,Fiat,Tipo 1.0 Live,Gasolina,100,7.000,Castellon,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/19/a/medium/0296752329017be03f-60f5-afeb-e872-c0c7907a9a0c.jpg
15.290,Fiat,Tipo 1.0 Live,Gasolina,100,5.000,Castellon,2021,https://imgs.coches.com/coches/fotos/usados/2021/10/19/c/medium/0296752143017a8162-4b76-5b1f-0fab-d442b8165ecc.jpg
16.500,Fiat,Tipo SW 1.0 Life,Gasolina,100,1,Pontevedra,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/03/d/medium/bf11a1b9ffeca1b0e1eec2bde48325a4.jpeg
18.400,Fiat,Tipo SW 1.3 Multijet City,Diesel,95,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/1/medium/df91b24cf8048549df8dd5697eb4e5c1.jpg
16.300,Fiat,Tipo Sedán 1.0 City Life,Gasolina,100,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/21/5/medium/d71daa0c72d0d20d4898a4a9dac279b3.jpg
51.990,Fiat,Ducato e- Furgón Acristalado,Eléctrico,122,10,Valencia,2021,https://imgs.coches.com/coches/fotos/usados/2022/01/04/1/medium/0308780657ef376e71e3d96c3d6b2eefe44bf7d170_original.jpg
49.595,Fiat,Ducato e- Combi Acristalado,Eléctrico,122,500,Barcelona,2021,https://imgs.coches.com/coches/fotos/usados/2021/12/10/5/medium/0304759665IMG_4100.JPG
25.200,Fiat,500 e 87Kw Icon,Eléctrico,118,1,Madrid,2021,https://imgs.coches.com/coches/fotos/usados/2021/11/24/f/medium/9ea9592e7f7de619c0c37feb76a6eebb.jpg
